City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Alta,69.9689,23.2717,18.59,79,75,5.14,NO,1692024615
284,Nemuro,43.3236,145.575,14.88,91,100,6.13,JP,1692024616
285,Ghat,24.9647,10.1728,38.22,12,1,1.43,LY,1692024617
286,Arrondissement de Condom,43.9167,0.3333,32.93,49,28,3.25,FR,1692024617
287,Seaham,54.839,-1.3458,18.38,93,100,0.89,GB,1692024618
288,Coyuca de Benítez,17.0333,-100.0667,27.59,70,100,0.92,MX,1692024618
289,Mumbwa,-14.9783,27.0619,27.28,15,0,2.57,ZM,1692024619
290,Kudahuvadhoo,2.6708,72.8944,28.21,71,19,3.12,MV,1692024619
291,Tura,25.5198,90.2201,24.81,90,100,1.29,IN,1692024620
292,Wellington,-41.2866,174.7756,10.03,75,0,4.63,NZ,1692024536
293,Vilyuysk,63.7553,121.6247,16.62,67,100,4.0,RU,1692024621
294,Sterling,39.0062,-77.4286,30.62,64,75,2.57,US,1692024437
295,Usogorsk,63.4106,48.6872,23.27,68,100,2.14,RU,1692024622
296,Winston,28.0317,-82.0148,33.77,75,0,4.12,US,1692024622
297,Yaren,-0.5472,166.916,26.68,78,100,1.76,NR,1692024623
298,Inhambane,-23.865,35.3833,25.0,69,20,6.26,MZ,1692024623
299,Geraldton,-28.7667,114.6,8.23,93,1,2.06,AU,1692024483
300,Mananjary,-21.2167,48.3333,22.74,89,10,4.86,MG,1692024624
301,Borogontsy,62.6683,131.1683,14.7,98,100,3.24,RU,1692024625
302,Taltal,-25.4,-70.4833,16.95,77,31,0.62,CL,1692024369
303,Klyuchi,52.2667,79.1667,11.83,87,100,4.17,RU,1692024626
304,Goundam,16.4145,-3.6708,35.41,33,96,4.73,ML,1692024627
305,Khadan Khak,30.7477,67.7085,27.68,11,4,7.23,PK,1692024627
306,Sittwe,20.15,92.9,27.25,87,39,2.17,MM,1692024628
307,Howrah,22.5892,88.3103,30.0,84,75,3.6,IN,1692024377
308,Kabanjahe,3.1001,98.4908,16.88,95,99,1.2,ID,1692024629
309,Vorgashor,67.5833,63.95,17.54,69,32,3.9,RU,1692024629
310,Okhotsk,59.3833,143.3,15.06,90,100,2.39,RU,1692024630
311,Auki,-8.7676,160.7034,24.29,92,31,2.62,SB,1692024631
312,Gubakha,58.8386,57.5532,22.31,68,25,0.85,RU,1692024631
313,Andergrove,-21.0833,149.1833,11.47,80,16,2.26,AU,1692024632
314,Constanța,44.1833,28.65,29.38,56,0,8.17,RO,1692024633
315,Saint-Pierre,-21.3393,55.4781,23.82,78,6,1.54,RE,1692024633
316,Sturgeon Bay,44.8342,-87.377,17.22,77,100,4.57,US,1692024634
317,Fort St. John,56.2499,-120.8529,14.94,77,75,0.0,CA,1692024634
318,Leopold,-38.1833,144.4667,5.1,72,6,3.09,AU,1692024416
319,Ust-Tsilma,65.441,52.1498,23.39,77,73,1.99,RU,1692024635
320,Yekaterinovka,52.0508,44.3451,25.01,51,4,3.72,RU,1692024636
321,Fortuna,40.5982,-124.1573,13.19,100,0,0.0,US,1692024637
322,Cadale,2.7603,46.3222,26.01,83,4,7.88,SO,1692024637
323,Vila Franca do Campo,37.7167,-25.4333,25.23,63,3,0.49,PT,1692024638
324,Lishui,28.4604,119.9103,26.04,92,99,0.47,CN,1692024638
325,Saint Croix,17.7397,-64.7388,32.25,62,75,8.23,VI,1692024639
326,Kalmunai,7.4167,81.8167,30.09,59,56,5.22,LK,1692024639
327,Holualoa,19.6228,-155.9522,22.15,74,0,4.63,US,1692024465
328,Lata,40.1629,-8.3327,24.49,31,39,5.51,PT,1692024640
329,Sovetskiy,61.3614,63.5842,22.93,52,52,1.97,RU,1692024641
330,Kiama,-34.6833,150.8667,11.88,89,93,1.34,AU,1692024641
331,Sandnessjøen,66.0217,12.6316,16.29,88,75,5.66,NO,1692024642
332,El Jadida,33.2549,-8.506,24.41,68,0,8.19,MA,1692024642
333,Cururupu,-1.8283,-44.8683,32.73,46,10,2.88,BR,1692024643
334,Nago,26.5881,127.9761,29.47,86,97,2.38,JP,1692024643
335,Olyokminsk,60.3736,120.4264,14.71,93,97,0.07,RU,1692024644
336,Tanjungbalai,2.9667,99.8,24.91,91,99,0.2,ID,1692024645
337,Bor,56.3567,44.0669,23.96,75,40,4.17,RU,1692024645
338,Finisterra,42.9049,-9.2629,24.3,87,66,3.17,ES,1692024646
339,Tual,-5.6667,132.75,25.77,80,32,8.59,ID,1692024646
340,Dunedin,-45.8742,170.5036,6.0,62,7,2.22,NZ,1692024647
341,Codrington,-38.2667,141.9667,4.59,90,2,2.24,AU,1692024647
342,Talcahuano,-36.7167,-73.1167,12.36,87,100,2.54,CL,1692024647
343,Sakleshpur,12.9667,75.7833,19.47,95,96,3.06,IN,1692024648
344,Basco,20.4487,121.9702,28.88,86,17,9.35,PH,1692024649
345,Sinop Province,41.7711,34.8709,29.05,53,0,3.15,TR,1692024649
346,Aasiaat,68.7098,-52.8699,4.29,93,81,2.42,GL,1692024655
347,Cologne,50.9333,6.95,28.11,63,73,1.34,DE,1692024655
348,Paducah,37.0834,-88.6001,24.14,95,75,2.06,US,1692024656
349,Petropavlovsk-Kamchatskiy,53.0452,158.6483,11.33,100,0,2.0,RU,1692024657
350,Bangolo,7.0069,-7.475,22.23,96,100,1.6,CI,1692024657
351,Impfondo,1.6381,18.0667,31.68,47,96,1.66,CG,1692024658
352,Kitimat,54.0524,-128.6534,17.21,61,100,1.34,CA,1692024659
